SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"POLYCAB","9,200.00","9,260.00","9,179.00","9,176.00","9,197.50","-","21.5","0.23","25331","23.37","10,126.00","6,620.00","-3.9","32.61"
"NTPC","343.45","345.00","342.75","343.65","344.40","-","0.75","0.22","608061","20.91","414.40","315.55","-3.59","3.51"
"HINDALCO","1,028.50","1,029.60","1,021.00","1,020.00","1,022.00","-","2","0.2","357102","36.56","1,176.00","657.50","7.01","48.32"
"KPITTECH","630.00","630.50","626.05","625.60","626.70","-","1.1","0.18","161787","10.18","1,328.00","543.00","11.98","-48.59"
"IREDA","121.35","121.35","120.40","120.35","120.53","-","0.18","0.15","486096","5.87","163.35","108.65","-6.34","-18.7"
"INFY","1,174.70","1,177.50","1,167.00","1,167.50","1,168.90","-","1.4","0.12","707309","82.93","1,728.00","982.40","11.49","-21.14"
"PERSISTENT","5,539.00","5,539.00","5,493.00","5,499.00","5,505.00","-","6","0.11","27230","15.00","6,599.00","4,244.50","17.43","6.21"
"PFC","422.10","424.00","420.00","420.00","420.35","-","0.35","0.08","277600","11.69","486.50","329.90","-1.36","1.51"
"SBIN","1,043.00","1,045.50","1,040.30","1,042.70","1,043.40","-","0.7","0.07","340543","35.53","1,234.70","786.55","0.26","31.04"
"POWERGRID","284.00","284.45","283.05","283.40","283.60","-","0.2","0.07","423821","12.03","324.95","250.00","-1.55","-1.58"
"INDUSTOWER","392.40","392.40","388.30","390.00","390.20","-","0.2","0.05","202611","7.90","481.50","312.55","1.75","12.78"
"IDFCFIRSTB","86.00","86.14","85.62","86.00","86.02","-","0.02","0.02","862545","7.42","88.76","58.08","6.89","24.04"
"LICI","386.00","391.50","385.90","391.30","391.35","-","0.05","0.01","8005891","311.30","468.48","360.75","-9.05","-56.29"
"VEDL","270.00","271.75","268.50","269.00","269.00","-","0","0","534810","14.44","795.00","249.70","-4.07","-37.65"
"EICHERMOT","7,960.00","7,965.00","7,905.50","7,935.00","7,934.50","-","-0.5","-0.01","17911","14.21","8,230.00","5,520.00","8.11","41.17"
"UNITDSPR","1,528.00","1,530.70","1,522.00","1,525.00","1,524.30","-","-0.7","-0.05","16139","2.46","1,548.00","1,210.80","9.45","13.83"
"AXISBANK","1,260.00","1,263.00","1,252.50","1,261.80","1,261.20","-","-0.6","-0.05","276772","34.87","1,418.30","1,042.50","-5.98","18.08"
"TRENT","3,107.30","3,107.30","3,080.10","3,107.70","3,105.70","-","-2","-0.06","33199","10.28","3,782.67","2,183.67","-6.97","-40.79"
"ICICIBANK","1,454.60","1,454.60","1,444.30","1,454.60","1,453.30","-","-1.3","-0.09","769620","111.76","1,480.00","1,187.60","3.06","-0.59"
"DALBHARAT","1,839.00","1,839.00","1,811.40","1,827.00","1,825.00","-","-2","-0.11","3305","0.60","2,496.30","1,605.00","3.51","-17.95"
"BEL","392.25","392.70","390.65","391.50","391.05","-","-0.45","-0.11","479146","18.76","473.45","361.20","-6.35","0.5"
"SOLARINDS","18,800.00","18,821.00","18,669.00","18,700.00","18,676.00","-","-24","-0.13","2595","4.87","19,187.00","11,646.00","1","30.17"
"ULTRACEMCO","12,049.00","12,049.00","11,970.00","12,050.00","12,033.00","-","-17","-0.14","5043","6.06","13,110.00","10,325.00","2.79","-1.69"
"LAURUSLABS","1,854.00","1,855.00","1,843.20","1,850.00","1,847.30","-","-2.7","-0.15","248164","45.88","1,855.00","810.05","19.95","114.82"
"SUPREMEIND","3,512.90","3,517.80","3,485.10","3,501.00","3,495.40","-","-5.6","-0.16","5634","1.97","4,664.90","3,140.00","8.43","-18.41"
"SONACOMS","790.00","790.90","785.05","787.00","785.70","-","-1.3","-0.17","43293","3.41","794.45","402.30","19.22","77.65"
"JSWSTEEL","1,304.50","1,304.50","1,293.00","1,300.00","1,297.50","-","-2.5","-0.19","45118","5.86","1,328.00","1,022.30","5.67","23.12"
"YESBANK","23.00","23.01","22.92","23.00","22.95","-","-0.05","-0.22","4289141","9.85","25.78","17.20","-5.7","21.76"
"PATANJALI","360.90","360.90","357.50","359.90","359.00","-","-0.9","-0.25","53937","1.94","623.67","328.20","-13.06","-80.66"
"SWIGGY","293.00","293.45","290.10","291.00","290.25","-","-0.75","-0.26","687623","20.01","474.00","235.75","17.21","-27.1"
"JINDALSTEL","1,124.00","1,126.80","1,118.50","1,124.00","1,121.00","-","-3","-0.27","40949","4.60","1,306.20","943.30","6.64","14.67"
"SRF","2,646.30","2,649.00","2,632.20","2,642.30","2,634.90","-","-7.4","-0.28","7341","1.94","3,210.00","2,355.00","-5.45","-13.38"
"KOTAKBANK","397.00","397.75","393.85","398.00","396.85","-","-1.15","-0.29","382593","15.17","453.20","345.50","0.32","-80.07"
"ASIANPAINT","2,787.00","2,787.00","2,761.10","2,775.00","2,766.60","-","-8.4","-0.3","43552","12.07","2,985.70","2,115.00","1.36","13.27"
