"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 04-Aug-2026","1W AGO 
 29-Jul-2026","1M AGO 
 03-Jul-2026","1Y AGO 
 04-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","41,358.55","0.15","41,515.95","41,515.95","41,325.15","-","41,295.10","41,295.10","40,500.10","41,277.30","41,246.55","-","-",0.2,0.4
"NIFTY500 VALUE 50","16,381.20","0.44","16,395.75","16,397.40","16,351.50","-","16,309.75","16,309.75","16,010.75","16,176.70","13,807.50","-","-",1.26,18.64
"NIFTY TOP 20 EQUAL WEIGHT","9,081.80","0.09","9,092.95","9,093.45","9,073.60","-","9,074.00","9,074.00","8,929.10","8,735.25","8,948.25","-","-",3.97,1.48
"NIFTY500 QUALITY 50","20,038.85","0.32","20,093.65","20,093.65","20,025.55","-","19,974.55","19,974.55","19,792.50","19,616.40","19,112.25","-","-",2.15,5.04
"NIFTY500 LOW VOLATILITY 50","22,838.10","-0.14","22,974.90","22,974.90","22,837.25","-","22,870.20","22,870.20","22,659.50","22,144.25","21,292.60","-","-",3.13,7.28
"NIFTY500 MULTIFACTOR MQVLV 50","31,537.05","0.22","31,644.50","31,644.50","31,535.65","-","31,468.10","31,468.10","31,218.15","31,097.20","30,396.50","-","-",1.41,3.92
"NIFTY50 USD","8,990.05","0.54","8,941.60","9,024.00","8,941.60","-","8,941.60","8,941.60","8,784.83","8,831.33","-","-","-",1.8,-7.58
"NIFTY500 FLEXICAP QUALITY 30","10,260.55","0.12","10,287.85","10,288.40","10,253.30","-","10,248.45","10,248.45","10,157.40","9,734.05","-","-","-",5.41,0
"NIFTY TOTAL MARKET MOMENTUM QUALITY 50","43,912.75","0.15","44,102.70","44,102.70","43,895.95","-","43,845.30","43,845.30","42,766.25","43,385.85","-","-","-",1.21,0
"NIFTY COMMODITIES","9,957.15","0.29","9,980.90","9,984.90","9,940.25","-","9,928.75","9,928.75","9,800.95","9,889.55","8,747.55","10,569.65","8,560.60",0.68,13.82
"NIFTY INDIA CONSUMPTION","12,219.65","0.08","12,271.65","12,271.65","12,213.35","-","12,209.30","12,209.30","12,021.45","11,795.70","11,782.35","12,716.20","10,298.50",3.59,3.64
"NIFTY CPSE","6,529.85","-0.07","6,555.05","6,559.40","6,522.10","-","6,534.35","6,534.35","6,473.50","6,728.80","6,350.70","7,593.35","6,101.90",-2.96,2.77
"NIFTY ENERGY","38,917.10","0.26","39,038.40","39,056.45","38,889.95","-","38,816.65","38,816.65","38,180.55","39,178.60","34,923.45","41,828.55","32,890.30",-0.67,11.46
"NIFTY INFRASTRUCTURE","9,474.75","0.59","9,497.75","9,509.15","9,469.65","-","9,419.55","9,419.55","9,316.10","9,473.50","9,058.50","9,792.60","8,426.65",0.01,4.78
"NIFTY100 LIQUID 15","7,716.65","0.53","7,723.65","7,727.20","7,700.05","-","7,676.05","7,676.05","7,494.75","7,565.45","6,877.45","7,774.60","6,565.70",2,12
"NIFTY MIDCAP LIQUID 15","17,040.00","0.10","17,112.95","17,112.95","17,018.45","-","17,022.65","17,022.65","16,713.70","16,523.10","15,039.35","17,142.65","13,702.75",3.13,14.63
"NIFTY MNC","33,458.40","-0.01","33,552.00","33,560.55","33,417.55","-","33,460.90","33,460.90","32,838.00","32,866.35","28,744.95","33,825.60","27,597.20",1.8,16.51
"NIFTY PSE","9,965.55","0.28","9,982.90","9,985.60","9,947.90","-","9,937.90","9,937.90","9,875.35","10,011.90","9,628.25","10,839.05","9,168.35",-0.46,3.56
"NIFTY SERVICES SECTOR","31,643.00","0.11","31,674.65","31,674.65","31,595.70","-","31,608.50","31,608.50","31,176.05","31,075.90","32,515.05","34,549.75","28,232.65",1.82,-2.37
"NIFTY100 ESG SECTOR LEADERS","4,150.75","0.18","4,156.85","4,157.25","4,146.15","-","4,143.30","4,143.30","4,079.25","4,075.05","4,149.85","-","-",1.86,0.41
"NIFTY INDIA DIGITAL","8,706.95","0.18","8,751.50","8,752.10","8,703.55","-","8,691.60","8,691.60","8,588.75","7,897.10","8,835.50","9,723.25","7,233.65",10.26,-0.77
"NIFTY100 ESG","5,159.70","0.24","5,169.20","5,169.20","5,153.80","-","5,147.15","5,147.15","5,047.30","4,951.00","4,870.45","-","-",4.22,6.16
"NIFTY INDIA MANUFACTURING","16,553.40","0.35","16,577.10","16,579.70","16,525.20","-","16,496.05","16,496.05","16,055.05","15,966.60","14,207.85","-","-",3.68,16.42
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14,917.30","-0.05","14,943.40","14,943.85","14,895.35","-","14,924.90","14,924.90","14,600.65","14,169.20","14,606.90","15,588.85","13,218.65",5.28,1.91
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","16,953.40","0.33","16,980.15","16,984.35","16,928.55","-","16,897.05","16,897.05","16,547.65","16,352.65","15,012.95","16,928.70","14,148.20",3.67,13.21
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14,805.05","0.62","14,821.25","14,835.50","14,793.70","-","14,713.40","14,713.40","14,540.25","14,742.05","13,937.80","14,885.80","12,542.85",0.43,6.27
"NIFTY INDIA DEFENCE","9,489.45","0.74","9,460.45","9,493.95","9,442.75","-","9,420.05","9,420.05","9,221.30","9,574.05","7,808.15","9,784.60","7,184.90",-0.88,20.5
"NIFTY INDIA TOURISM","8,174.95","1.07","8,150.85","8,178.15","8,117.20","-","8,088.75","8,088.75","7,960.50","8,127.85","9,112.85","9,452.55","6,502.65",0.58,-10.2
"NIFTY CAPITAL MARKETS","5,267.00","-0.27","5,316.00","5,316.00","5,255.30","-","5,281.50","5,281.50","5,285.70","5,543.95","4,415.35","5,697.10","4,086.85",-5,20.68
"NIFTY EV & NEW AGE AUTOMOTIVE","3,336.75","0.69","3,331.75","3,337.30","3,326.30","-","3,313.95","3,313.95","3,195.85","3,126.05","2,905.75","-","-",6.74,14.69
"NIFTY INDIA NEW AGE CONSUMPTION","12,219.40","0.50","12,238.90","12,238.95","12,194.00","-","12,158.35","12,158.35","11,960.95","11,661.65","11,619.95","-","-",4.78,5.12
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","39,896.55","0.33","39,933.40","39,950.70","39,774.70","-","39,763.75","39,763.75","38,884.35","38,800.20","35,912.50","-","-",2.83,11.41
"NIFTY MOBILITY","23,886.90","0.79","23,855.60","23,890.50","23,767.75","-","23,700.75","23,700.75","22,978.65","22,584.70","20,915.10","-","-",5.77,14.34
"NIFTY100 ENHANCED ESG","5,194.55","0.25","5,204.15","5,204.15","5,188.60","-","5,181.85","5,181.85","5,081.60","4,984.40","4,907.40","-","-",4.22,6.07
"NIFTY CORE HOUSING","16,084.00","0.55","16,065.35","16,089.60","16,024.90","-","15,996.45","15,996.45","15,955.50","15,748.35","16,132.25","16,610.25","12,788.20",2.13,0.02
"NIFTY HOUSING","12,143.80","0.45","12,126.35","12,145.25","12,104.05","-","12,089.55","12,089.55","11,995.15","12,086.70","11,425.95","12,244.25","10,358.70",0.47,6.49
"NIFTY IPO","2,316.85","0.56","2,316.70","2,319.80","2,312.15","-","2,304.05","2,304.05","2,270.60","2,305.10","2,081.45","2,336.35","1,774.60",0.51,11.83
"NIFTY MIDSMALL INDIA CONSUMPTION","19,121.40","0.25","19,166.65","19,180.35","19,104.35","-","19,074.20","19,074.20","19,112.30","18,381.85","19,628.40","20,135.15","15,614.35",4.02,-2.47
"NIFTY NON-CYCLICAL CONSUMER","15,722.80","-0.14","15,809.85","15,809.85","15,719.55","-","15,744.40","15,744.40","15,630.00","15,390.65","16,216.30","16,983.45","13,311.10",2.16,-2.77
"NIFTY RURAL","15,910.80","0.34","15,944.75","15,944.75","15,885.80","-","15,856.55","15,856.55","15,532.00","15,456.55","14,848.05","16,396.40","13,751.35",2.94,7
"NIFTY SHARIAH 25","8,181.45","-0.30","8,222.55","8,222.55","8,180.80","-","8,205.85","8,205.85","8,114.05","7,794.20","8,080.55","8,562.10","7,196.60",4.97,1.47
"NIFTY TRANSPORTATION & LOGISTICS","26,731.25","0.78","26,694.40","26,736.30","26,587.80","-","26,524.80","26,524.80","25,641.75","25,161.25","23,466.50","26,591.25","21,355.40",6.24,13.83
"NIFTY50 SHARIAH","4,423.65","-0.37","4,449.05","4,449.05","4,423.45","-","4,439.90","4,439.90","4,394.45","4,229.95","4,586.20","4,982.45","4,082.25",4.58,-3.23
"NIFTY500 SHARIAH","7,139.75","0.12","7,161.10","7,161.10","7,138.60","-","7,131.50","7,131.50","7,024.55","6,879.40","7,015.25","7,291.95","6,162.95",3.78,2.03
"NIFTY SME EMERGE","14,081.50","0.30","14,054.75","14,082.55","14,053.05","-","14,038.95","14,038.95","13,939.85","14,144.70","15,080.14","17,223.65","11,015.55",-0.45,-5.81
"NIFTY INDIA INTERNET","1,395.45","0.43","1,399.95","1,400.35","1,393.65","-","1,389.45","1,389.45","1,366.25","1,298.80","-","1,501.90","1,056.45",7.44,0
"NIFTY WAVES","1,956.20","0.24","1,956.15","1,958.90","1,953.50","-","1,951.55","1,951.55","1,942.90","2,012.55","2,147.55","2,789.80","1,581.05",-2.8,-8.69
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","12,290.05","0.77","12,281.10","12,294.95","12,249.40","-","12,196.10","12,196.10","12,040.55","12,345.40","-","12,549.95","9,210.40",-0.45,0
"NIFTY INDIA RAILWAYS PSU","2,925.70","0.89","2,913.65","2,929.20","2,913.10","-","2,899.95","2,899.95","2,875.15","2,901.30","3,581.89","4,005.50","2,744.60",0.84,-17.87
"NIFTY CONGLOMERATE 50","15,677.95","0.61","15,658.65","15,681.50","15,617.75","-","15,583.35","15,583.35","15,115.25","14,878.35","13,988.45","15,640.00","12,226.80",5.37,12.02
"NIFTY 8-13 YR G-SEC","3,057.63","0.21","3,051.56","3,057.95","3,051.56","-","3,051.01","3,051.01","3,050.03","3,047.66","2,948.91","-","-",0.33,3.76
"NIFTY 10 YR BENCHMARK G-SEC","2,679.25","0.28","2,672.10","2,680.36","2,672.10","-","2,671.61","2,671.61","2,673.19","2,676.48","2,610.57","-","-",0.1,2.68
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","878.08","0.27","875.70","878.45","875.70","-","875.71","875.71","877.07","882.52","914.63","-","-",-0.5,-3.94
"NIFTY 4-8 YR G-SEC INDEX","3,340.97","0.09","3,338.41","3,341.46","3,338.41","-","3,337.82","3,337.82","3,341.63","3,324.21","3,185.85","-","-",0.5,4.87
"NIFTY 11-15 YR G-SEC INDEX","3,384.69","0.20","3,378.48","3,387.54","3,378.48","-","3,377.85","3,377.85","3,371.94","3,372.82","3,239.24","-","-",0.35,4.58
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,553.85","0.13","3,549.70","3,553.85","3,547.61","-","3,548.98","3,548.98","3,553.17","3,593.56","3,509.10","-","-",-1.11,1.56
"NIFTY COMPOSITE G-SEC INDEX","3,146.91","0.20","3,141.03","3,147.07","3,141.03","-","3,140.44","3,140.44","3,139.15","3,142.59","3,037.71","-","-",0.14,3.7
"NIFTY BHARAT BOND INDEX - APRIL 2030","1,610.38","0.01","1,610.40","1,610.40","1,610.38","-","1,610.08","1,610.08","1,608.42","1,608.76","1,541.16","-","-",0.1,4.43
"NIFTY BHARAT BOND INDEX - APRIL 2031","1,464.56","0.01","1,464.56","1,464.56","1,464.56","-","1,464.29","1,464.29","1,463.95","1,464.54","1,405.52","-","-",0,4.13
"NIFTY BHARAT BOND INDEX - APRIL 2032","1,331.38","0.01","1,331.38","1,331.38","1,331.38","-","1,331.13","1,331.13","1,332.33","1,331.23","1,281.02","-","-",0.01,3.86
"NIFTY BHARAT BOND INDEX - APRIL 2033","1,289.64","0.01","1,289.64","1,289.64","1,289.64","-","1,289.39","1,289.39","1,290.91","1,291.39","1,244.89","-","-",-0.14,3.47
